country,state,county,lat,lng,type,beds,population,year
US,AR,saline,35.20105,-91.831833,ACUTE,1.436534,116252,2018
US,AR,saline,35.20105,-91.831833,PSYCHIATRIC,0.662354,116252,2018
US,AR,sebastian,35.20105,-91.831833,ACUTE,6.830923,127362,2018
US,AR,sebastian,35.20105,-91.831833,OTHER,0.824422,127362,2018
US,AR,sebastian,35.20105,-91.831833,PSYCHIATRIC,0.588873,127362,2018
US,AR,sevier,35.20105,-91.831833,ICU,2.034174,17206,2018
US,AR,st. francis,35.20105,-91.831833,ACUTE,4.421463,26688,2018
US,AR,stone,35.20105,-91.831833,ICU,2.009162,12443,2018
US,AR,union,35.20105,-91.831833,ACUTE,4.147719,40022,2018
US,AR,van buren,35.20105,-91.831833,ICU,1.492448,16751,2018
US,AR,washington,35.20105,-91.831833,ACUTE,2.852251,223683,2016
US,AR,washington,35.20105,-91.831833,OTHER,0.554356,223683,2018
US,AR,washington,35.20105,-91.831833,PSYCHIATRIC,0.50965,223683,2018
US,AR,white,35.20105,-91.831833,ACUTE,6.428989,78706,2018
US,AR,yell,35.20105,-91.831833,ACUTE,1.89806,21601,2018
US,AR,yell,35.20105,-91.831833,ICU,1.620295,21601,2018
US,AZ,apache,34.048928,-111.093731,ACUTE,0.279322,71602,2018
US,AZ,apache,34.048928,-111.093731,ICU,0.349152,71602,2018
US,AZ,cochise,34.048928,-111.093731,ACUTE,3.596383,126516,2017
US,AZ,coconino,34.048928,-111.093731,ACUTE,2.221597,138639,2018
US,AZ,gila,34.048928,-111.093731,ACUTE,1.298335,53145,2018
US,AZ,graham,34.048928,-111.093731,ACUTE,1.299735,37700,2018
US,AZ,la paz,34.048928,-111.093731,ACUTE,1.220882,20477,2018
US,AZ,maricopa,34.048928,-111.093731,ACUTE,1.957887,4155501,2018
US,AZ,maricopa,34.048928,-111.093731,OTHER,0.23872,4155501,2017
US,AZ,maricopa,34.048928,-111.093731,PSYCHIATRIC,0.153772,4155501,2018
US,AZ,mohave,34.048928,-111.093731,ACUTE,2.550185,204691,2018
US,AZ,mohave,34.048928,-111.093731,OTHER,0.322437,204691,2018
US,AZ,navajo,34.048928,-111.093731,ACUTE,0.824823,107902,2018
US,AZ,navajo,34.048928,-111.093731,ICU,0.231692,107902,2018
US,AZ,navajo,34.048928,-111.093731,PSYCHIATRIC,0.148283,107902,2018
US,AZ,pima,34.048928,-111.093731,ACUTE,2.144438,1007257,2018
US,AZ,pima,34.048928,-111.093731,OTHER,0.734669,1007257,2018
US,AZ,pima,34.048928,-111.093731,PSYCHIATRIC,0.255148,1007257,2018
US,AZ,pinal,34.048928,-111.093731,ACUTE,0.614001,405537,2018
US,AZ,santa cruz,34.048928,-111.093731,ACUTE,1.20799,46358,2018
US,AZ,yavapai,34.048928,-111.093731,ACUTE,1.430045,220972,2018
US,AZ,yavapai,34.048928,-111.093731,PSYCHIATRIC,0.072407,220972,2018
